name_first_middle,name_last,mob,yob
Fábia Marciano Ulla, Berg,6,1966
Alfredo Tácito Ana,Eklund ,5,1955
Pilvi Gracília Duarte, Paredes ,5,1955
Emelie Efigênia Cassandra, Lindquist ,5,1955
Cäsar,Cossmann,,
Rüdiger Kurrat,,
,,,
,,,1998
,,5,
,x,,
x,,,
Corliss Rufina Johana Mohn,ChaeLeatham,-1,1902
Jazmine Wan Charlesetta Jeanes,Larosa Marston,0,1902
Marylou Ericka Tiffaney Grimaldi,Citizen-Schimpf,1,1903
Lachelle Ebonie Anya Edinger,GullattKearl,2,1903
Brooke Burma Shiela Will,SchreiberHaith,11,1908
Tomi Tamela Nu Gartman,Norby Martineau,12,1908
Krystal Sally Linette Griffy,Mansell-George,13,1909
Annalee Modesta Linnea Keebler,RideoutRobare,9000,1909
Wendie Katie Kelli Stayer,Shankle Sturgis,10x,1910
Kecia Bonny Naomi Abraham,Hutchins-Alcott,x10,1910
Irmgard Charissa Mora Witek,Hadfield Beckman,N/A,1911
Marin Margorie Zofia Loudon,WibleAndes,NULL,1911
Juli Ernestina Anisha Varga,Stufflebeam-Rish,VOID,1912
Nathalie Carlee Leonore Buckner,BeaudetRiss,,1912
Sharon Eunice Catrice Ehle,Mccarty Eckel, ,1913
Elane Linette Emerita Aquino,Kwon-Russ,	,1913
Genna Setsuko Venita Strasser,HuweRegis,-1,1914
Lynell Lorette Kristi Naslund,Shelburne Brockington,0,1914
Marvella Elia Maya Borg,Sternberg-Sung,1,1915
Rozanne Tameika Iola Gillen,McduffieDalzell,2,1915
Donna Adriene Clemmie Pietrowski,LinerMelara,11,1920
Lashay Tomiko Hester Burton,Shy Berrett,12,1920
Sadye Danelle Valentina Mummert,Jiminez-Dant,13,1921
Christena Celena Delia Highfield,FurlowWissing,9000,1921
Sachiko Dulcie Mellisa Landin,Jeon Ulery,10x,1922
Ilse Jamika Bari Warfel,Arjona-Favreau,x10,1922
Nobuko Shala Emelina Hitz,Bumgarner Fluharty,N/A,1923
Shasta Lynelle Robbyn Kleist,CecilJacome,NULL,1923
Darleen Colette Evelyn Metzer,Sellner-Bozell,VOID,1924
Jaleesa Neida Allison Woodland,BeechColberg,,1924
Krishna Margeret Danyelle Bloodsaw,Tousant Mckinny, ,1925
Sharlene Youlanda Bettie Vaz,Nieto-Bryson,	,1925
"Corliss ""Rufina"" Johana",ChaeLeatham,-1,1926
"Jazmine ""Wan"" Charlesetta",Larosa Marston,0,1926
"Marylou ""Ericka"" Tiffaney",Citizen-Schimpf,1,1927
"Lachelle ""Ebonie"" Anya",GullattKearl,2,1927
"Brooke ""Burma"" Shiela",SchreiberHaith,11,1932
"Tomi ""Tamela"" Nu",Norby Martineau,12,1932
"Krystal ""Sally"" Linette",Mansell-George,13,1933
"Annalee ""Modesta"" Linnea",RideoutRobare,9000,1933
"Wendie ""Katie"" Kelli",Shankle Sturgis,10x,1934
"Kecia ""Bonny"" Naomi",Hutchins-Alcott,x10,1934
"Irmgard ""Charissa"" Mora",Hadfield Beckman,N/A,1935
"Marin ""Margorie"" Zofia",WibleAndes,NULL,1935
"Juli ""Ernestina"" Anisha",Stufflebeam-Rish,VOID,1936
"Nathalie ""Carlee"" Leonore",BeaudetRiss,,1936
"Sharon ""Eunice"" Catrice",Mccarty Eckel, ,1937
"Elane ""Linette"" Emerita",Kwon-Russ,	,1937
"Genna ""Setsuko"" Venita",HuweRegis,-1,1938
"Lynell ""Lorette"" Kristi",Shelburne Brockington,0,1938
"Marvella ""Elia"" Maya",Sternberg-Sung,1,1939
"Rozanne ""Tameika"" Iola",McduffieDalzell,2,1939
"Donna ""Adriene"" Clemmie",LinerMelara,11,1944
"Lashay ""Tomiko"" Hester",Shy Berrett,12,1944
"Sadye ""Danelle"" Valentina",Jiminez-Dant,13,1945
"Christena ""Celena"" Delia",FurlowWissing,9000,1945
"Sachiko ""Dulcie"" Mellisa",Jeon Ulery,10x,1946
"Ilse ""Jamika"" Bari",Arjona-Favreau,x10,1946
"Nobuko ""Shala"" Emelina",Bumgarner Fluharty,N/A,1947
"Shasta ""Lynelle"" Robbyn",CecilJacome,NULL,1947
"Darleen ""Colette"" Evelyn",Sellner-Bozell,VOID,1948
"Jaleesa ""Neida"" Allison",BeechColberg,,1948
"Krishna ""Margeret"" Danyelle",Tousant Mckinny, ,1949
"Sharlene ""Youlanda"" Bettie",Nieto-Bryson,	,1949
Corliss-Rufina Johana,ChaeLeatham,-1,1950
Jazmine-Wan Charlesetta,Larosa Marston,0,1950
Marylou-Ericka Tiffaney,Citizen-Schimpf,1,1951
Lachelle-Ebonie Anya,GullattKearl,2,1951
Brooke-Burma Shiela,SchreiberHaith,11,1956
Tomi-Tamela Nu,Norby Martineau,12,1956
Krystal-Sally Linette,Mansell-George,13,1957
Annalee-Modesta Linnea,RideoutRobare,9000,1957
Wendie-Katie Kelli,Shankle Sturgis,10x,1958
Kecia-Bonny Naomi,Hutchins-Alcott,x10,1958
Irmgard-Charissa Mora,Hadfield Beckman,N/A,1959
Marin-Margorie Zofia,WibleAndes,NULL,1959
Juli-Ernestina Anisha,Stufflebeam-Rish,VOID,1960
Nathalie-Carlee Leonore,BeaudetRiss,,1960
Sharon-Eunice Catrice,Mccarty Eckel, ,1961
Elane-Linette Emerita,Kwon-Russ,	,1961
Genna-Setsuko Venita,HuweRegis,-1,1962
Lynell-Lorette Kristi,Shelburne Brockington,0,1962
Marvella-Elia Maya,Sternberg-Sung,1,1963
Rozanne-Tameika Iola,McduffieDalzell,2,1963
Donna-Adriene Clemmie,LinerMelara,11,1968
Lashay-Tomiko Hester,Shy Berrett,12,1968
Sadye-Danelle Valentina,Jiminez-Dant,13,1969
Christena-Celena Delia,FurlowWissing,9000,1969
Sachiko-Dulcie Mellisa,Jeon Ulery,10x,1970
Ilse-Jamika Bari,Arjona-Favreau,x10,1970
Nobuko-Shala Emelina,Bumgarner Fluharty,N/A,1971
Shasta-Lynelle Robbyn,CecilJacome,NULL,1971
Darleen-Colette Evelyn,Sellner-Bozell,VOID,1972
Jaleesa-Neida Allison,BeechColberg,,1972
Krishna-Margeret Danyelle,Tousant Mckinny, ,1973
Sharlene-Youlanda Bettie,Nieto-Bryson,	,1973
Corliss Rufina-Johana,ChaeLeatham,-1,1974
Jazmine Wan-Charlesetta,Larosa Marston,0,1974
Marylou Ericka-Tiffaney,Citizen-Schimpf,1,1975
Lachelle Ebonie-Anya,GullattKearl,2,1975
Brooke Burma-Shiela,SchreiberHaith,11,1980
Tomi Tamela-Nu,Norby Martineau,12,1980
Krystal Sally-Linette,Mansell-George,13,1981
Annalee Modesta-Linnea,RideoutRobare,9000,1981
Wendie Katie-Kelli,Shankle Sturgis,10x,1982
Kecia Bonny-Naomi,Hutchins-Alcott,x10,1982
Irmgard Charissa-Mora,Hadfield Beckman,N/A,1983
Marin Margorie-Zofia,WibleAndes,NULL,1983
Juli Ernestina-Anisha,Stufflebeam-Rish,VOID,1984
Nathalie Carlee-Leonore,BeaudetRiss,,1984
Sharon Eunice-Catrice,Mccarty Eckel, ,1985
Elane Linette-Emerita,Kwon-Russ,	,1985
Genna Setsuko-Venita,HuweRegis,-1,1986
Lynell Lorette-Kristi,Shelburne Brockington,0,1986
Marvella Elia-Maya,Sternberg-Sung,1,1987
Rozanne Tameika-Iola,McduffieDalzell,2,1987
Donna Adriene-Clemmie,LinerMelara,11,1992
Lashay Tomiko-Hester,Shy Berrett,12,1992
Sadye Danelle-Valentina,Jiminez-Dant,13,1993
Christena Celena-Delia,FurlowWissing,9000,1993
Sachiko Dulcie-Mellisa,Jeon Ulery,10x,1994
Ilse Jamika-Bari,Arjona-Favreau,x10,1994
Nobuko Shala-Emelina,Bumgarner Fluharty,N/A,1995
Shasta Lynelle-Robbyn,CecilJacome,NULL,1995
Darleen Colette-Evelyn,Sellner-Bozell,VOID,1996
Jaleesa Neida-Allison,BeechColberg,,1996
Krishna Margeret-Danyelle,Tousant Mckinny, ,1997
Sharlene Youlanda-Bettie,Nieto-Bryson,	,1997
CorlissRufina Johana,ChaeLeatham,-1,1998
JazmineWan Charlesetta,Larosa Marston,0,1999
MarylouEricka Tiffaney,Citizen-Schimpf,1,1999
LachelleEbonie Anya,GullattKearl,2,2000
BrookeBurma Shiela,SchreiberHaith,11,2004
TomiTamela Nu,Norby Martineau,12,2005
KrystalSally Linette,Mansell-George,13,2005
AnnaleeModesta Linnea,RideoutRobare,9000,2006
WendieKatie Kelli,Shankle Sturgis,10x,2006
MarinMargorie Zofia,WibleAndes,NULL,2007
KeciaBonny Naomi,Hutchins-Alcott,x10,2007
IrmgardCharissa Mora,Hadfield Beckman,N/A,2008
JuliErnestina Anisha,Stufflebeam-Rish,VOID,2008
SharonEunice Catrice,Mccarty Eckel, ,2009
NathalieCarlee Leonore,BeaudetRiss,,2009
GennaSetsuko Venita,HuweRegis,-1,2010
ElaneLinette Emerita,Kwon-Russ,	,2010
LynellLorette Kristi,Shelburne Brockington,0,2011
MarvellaElia Maya,Sternberg-Sung,1,2011
RozanneTameika Iola,McduffieDalzell,2,2012
DonnaAdriene Clemmie,LinerMelara,11,2016
LashayTomiko Hester,Shy Berrett,12,2017
SadyeDanelle Valentina,Jiminez-Dant,13,2017
ChristenaCelena Delia,FurlowWissing,9000,2018
SachikoDulcie Mellisa,Jeon Ulery,10x,2018
ShastaLynelle Robbyn,CecilJacome,NULL,2019
IlseJamika Bari,Arjona-Favreau,x10,2019
NobukoShala Emelina,Bumgarner Fluharty,N/A,2020
DarleenColette Evelyn,Sellner-Bozell,VOID,2020
KrishnaMargeret Danyelle,Tousant Mckinny, ,2021
JaleesaNeida Allison,BeechColberg,,2021
SharleneYoulanda Bettie,Nieto-Bryson,	,2022
